train_acc,val_loss,val_acc,val_pred+%,|,feature_dim,d_model,num_heads,num_layers,droupout,|,window,seq_len,batch_size,epochs,learning_rate
0.7467,1.0768,0.4409,0.476,|,6,128,4,2,0.2,|,24,48,32,50,1e-3
0.8175,1.1168,0.4876,0.759,|,6,64,4,2,0.2,|,24,48,32,50,1e-3
0.7653,1.6649,0.3664,0.670,|,6,32,4,2,0.2,|,24,48,32,50,1e-3
0.7547,1.1237,0.3752,0.515,|,6,16,4,2,0.2,|,24,48,32,50,1e-3
0.7307,0.9972,0.4511,0.115,|,6,8,4,2,0.2,|,24,48,32,50,1e-3
#
0.8008,1.5876,0.4719,0.114,|,6,32,4,2,0.2,|,24,96,32,50,1e-3
0.7653,1.6649,0.3664,0.670,|,6,32,4,2,0.2,|,24,48,32,50,1e-3
0.7242,0.8771,0.4768,0.233,|,6,32,4,2,0.2,|,24,24,32,50,1e-3
0.7294,0.8258,0.5426,0.121,|,6,32,4,2,0.2,|,24,12,32,50,1e-3
0.6192,0.7957,0.4914,0.640,|,6,32,4,2,0.2,|,24,6,32,50,1e-3
#
0.8398,1.2360,0.4029,0.511,|,6,32,4,2,0.1,|,24,48,32,50,1e-3
0.7653,1.6649,0.3664,0.670,|,6,32,4,2,0.2,|,24,48,32,50,1e-3
0.7540,1.2328,0.5153,0.299,|,6,32,4,2,0.3,|,24,48,32,50,1e-3
0.7080,1.3387,0.4920,0.317,|,6,32,4,2,0.4,|,24,48,32,50,1e-3
0.6799,1.2166,0.4745,0.171,|,6,32,4,2,0.5,|,24,48,32,50,1e-3